"price","product_url","product_id","id"
335001,https://www.eauqtion.com/details/1093/KCL-585M,1093,
170000,https://www.eauqtion.com/details/1094/KCH-359E,1094,
130001,https://www.eauqtion.com/details/1095/KBJ-517A,1095,
151000,https://www.eauqtion.com/details/1096/KBL-869N,1096,
170001,https://www.eauqtion.com/details/1097/KBB-976X,1097,
201001,https://www.eauqtion.com/details/1098/KCJ-932R,1098,
170000,https://www.eauqtion.com/details/1099/KCQ-278Q,1099,
890000,https://www.eauqtion.com/details/1100/KCU-042A,1100,
810001,https://www.eauqtion.com/details/1101/GKB-624S,1101,
210001,https://www.eauqtion.com/details/1102/KBW-180A,1102,
90001,https://www.eauqtion.com/details/1103/KCE-961M,1103,
25001,https://www.eauqtion.com/details/1104/KCK-021U,1104,
100000,https://www.eauqtion.com/details/1105/KBE-549Y,1105,
430000,https://www.eauqtion.com/details/1106/ZD-7639,1106,
356000,https://www.eauqtion.com/details/1107/KCC-333K,1107,
180000,https://www.eauqtion.com/details/1108/KCR-075S,1108,
329999,https://www.eauqtion.com/details/1109/KCV-858V,1109,
120000,https://www.eauqtion.com/details/1110/KBS-622N,1110,
255005,https://www.eauqtion.com/details/1111/KCC-226A,1111,
120001,https://www.eauqtion.com/details/1112/KCB-847B,1112,
200000,https://www.eauqtion.com/details/1113/KBS-303Q,1113,
155000,https://www.eauqtion.com/details/1191/KAV-209X,1191,
210001,https://www.eauqtion.com/details/1192/KBS-891D,1192,
90000,https://www.eauqtion.com/details/1193/KCR-497S,1193,
